Worker_ID,Age,Industry,Job_Role,Years_Experience,AI_Tools_Used_Daily,AI_Hours_Per_Day,AI_Adoption_Level,Perceived_Usefulness,Skill_Anxiety_Score,Work_Hours_Per_Week,Meetings_Per_Week,Deep_Work_Hours,Interruptions_Per_Day,Sleep_Hours_Per_Night,Physical_Activity_Days,Stress_Level,Job_Satisfaction,Cognitive_Load_Score,Remote_Work_Ratio,Productivity_Score,Burnout_Label
1,22,Finance,Accountant,0.1,5,4.2,2,9,10,53.8,12,3.4,21,6.4,4,6,5,3,0.74,76.0,No Risk
2,29,Creative,Copywriter,9.7,5,3.4,2,10,2,39.0,10,3.6,7,5.6,2,5,8,4,0.24,72.9,No Risk
3,39,Education,Curriculum Designer,16.0,4,3.5,2,5,5,54.7,4,4.5,10,6.5,4,8,3,2,0.22,61.8,At Risk
4,29,Healthcare,Physician,5.5,6,3.2,2,6,3,42.2,10,3.7,11,6.4,4,2,6,2,0.11,85.1,No Risk
5,33,Technology,Product Manager,10.9,2,2.5,1,9,4,42.6,9,3.0,17,5.6,3,7,8,1,0.5,70.5,No Risk
6,39,Technology,DevOps Engineer,14.9,8,4.7,3,10,5,44.2,6,4.4,13,5.2,3,4,7,6,0.83,73.6,No Risk
7,39,Technology,Product Manager,11.9,8,6.0,3,10,3,56.6,12,3.4,18,6.0,0,6,6,4,0.7,70.9,No Risk
8,26,Legal,Lawyer,2.1,8,5.1,3,10,6,47.2,11,3.8,12,4.6,4,7,10,5,0.58,74.2,No Risk
9,43,Healthcare,Health Admin,18.0,6,5.1,3,10,5,54.7,3,0.5,14,5.8,7,8,6,6,0.14,63.8,At Risk
10,44,Education,Curriculum Designer,17.6,5,5.2,2,9,2,43.1,15,0.9,6,7.7,3,3,6,4,0.27,81.0,No Risk
11,26,Technology,Product Manager,5.8,7,5.7,3,10,4,51.4,12,4.2,10,5.8,4,5,7,4,0.63,87.2,No Risk
12,28,Creative,Video Producer,6.7,8,5.6,3,8,5,39.8,13,3.2,10,7.7,6,1,8,2,0.26,86.9,No Risk
13,45,Legal,Legal Analyst,22.4,7,6.1,3,10,1,56.5,11,1.3,8,6.1,2,3,4,6,0.7,77.8,No Risk
14,34,Technology,DevOps Engineer,12.6,7,4.6,3,10,2,46.0,6,3.8,12,8.0,3,3,8,4,0.54,82.1,No Risk
15,22,Technology,DevOps Engineer,0.0,7,5.5,3,7,10,58.5,6,4.0,13,6.7,3,7,9,5,0.57,67.7,No Risk
16,24,Technology,DevOps Engineer,2.7,1,0.2,0,2,5,43.6,8,4.1,17,5.9,2,6,2,2,0.64,45.3,No Risk
17,33,Finance,Accountant,10.8,6,4.8,3,9,3,49.3,7,3.8,14,7.2,2,6,8,5,0.72,82.3,No Risk
18,26,Healthcare,Physician,4.3,3,1.5,1,9,2,63.8,6,4.8,10,5.6,1,5,5,5,0.07,67.0,No Risk
19,32,Finance,Compliance Officer,10.6,4,4.8,2,7,3,53.0,6,4.2,16,6.1,5,6,3,6,0.6,78.1,At Risk
20,35,Finance,Risk Manager,15.7,5,4.1,2,9,5,48.6,8,2.9,15,6.0,2,6,7,3,0.52,82.8,No Risk
21,47,Healthcare,Health Admin,27.4,3,1.6,1,2,6,35.7,9,1.8,9,5.8,6,4,2,4,0.11,52.0,No Risk
22,33,Technology,DevOps Engineer,9.6,2,1.8,1,8,6,39.5,4,3.3,11,6.5,0,4,7,4,0.81,80.9,No Risk
23,44,Finance,Compliance Officer,21.0,6,5.0,3,8,3,54.8,11,3.9,12,6.8,1,5,5,4,0.62,68.8,No Risk
24,46,Finance,Financial Analyst,21.8,6,5.0,3,10,2,45.8,13,4.5,14,7.2,5,5,8,5,0.88,81.4,No Risk
25,46,Finance,Compliance Officer,20.7,6,3.7,2,9,4,45.3,8,3.5,19,7.9,4,6,8,4,0.76,71.7,No Risk
26,37,Education,Researcher,14.5,6,3.5,2,9,3,38.3,6,3.5,15,5.6,1,5,7,4,0.16,71.7,No Risk
27,22,Technology,Data Scientist,0.0,8,5.3,3,10,9,51.7,8,1.4,12,9.0,2,9,6,4,0.62,65.7,At Risk
28,39,Healthcare,Nurse,19.2,3,3.2,1,10,4,46.3,9,3.9,12,6.6,1,5,8,4,0.49,67.0,No Risk
29,43,Healthcare,Medical Researcher,16.3,4,3.4,2,8,6,52.7,11,4.3,8,4.8,3,6,6,3,0.13,79.9,No Risk
30,34,Technology,Software Engineer,12.5,5,4.7,2,10,6,56.9,3,3.4,16,7.0,4,5,6,3,0.64,76.0,No Risk
31,49,Healthcare,Medical Researcher,25.7,6,4.7,3,10,5,52.1,7,4.6,14,6.5,3,9,8,3,0.15,68.8,No Risk
32,42,Technology,Product Manager,20.4,4,1.6,1,7,5,36.1,12,2.2,16,5.2,4,6,6,4,0.71,64.0,No Risk
33,40,Technology,Data Scientist,16.2,6,4.7,3,10,2,36.4,6,3.6,15,5.1,2,4,7,5,0.88,69.9,No Risk
34,44,Creative,Video Producer,18.7,2,1.7,1,6,5,51.3,7,3.2,12,5.6,0,9,2,3,0.2,47.6,At Risk
35,38,Creative,Brand Strategist,18.1,0,3.4,0,5,5,45.0,8,1.7,13,6.0,7,5,5,4,0.06,61.7,No Risk
36,22,Legal,Paralegal,0.1,5,1.9,1,7,10,59.5,11,4.9,16,6.5,3,9,2,4,0.56,80.1,At Risk
37,31,Finance,Risk Manager,9.2,8,3.8,2,8,5,47.2,2,2.8,22,5.8,3,8,9,6,0.86,61.6,No Risk
38,45,Technology,QA Engineer,24.9,5,4.0,2,10,4,33.2,5,2.4,10,7.4,1,5,5,2,0.61,91.3,No Risk
39,29,Education,Academic Advisor,10.6,4,2.0,1,10,4,35.4,7,4.0,11,5.8,1,6,9,4,0.62,74.8,No Risk
40,33,Finance,Compliance Officer,12.4,4,1.7,1,7,4,39.5,5,3.6,8,6.3,3,5,5,4,0.84,67.5,No Risk
41,27,Technology,Software Engineer,1.7,4,3.5,2,10,5,60.9,5,3.4,12,7.5,0,8,5,4,0.32,72.0,At Risk
42,49,Healthcare,Health Admin,24.8,9,5.0,3,10,4,57.9,3,3.6,13,7.6,4,8,8,5,0.13,67.2,No Risk
43,48,Technology,QA Engineer,21.7,8,7.0,3,10,5,44.2,9,3.3,15,5.9,1,6,4,7,0.82,67.0,At Risk
44,28,Creative,Brand Strategist,7.0,7,3.7,2,9,4,45.5,5,2.6,12,6.1,6,4,5,4,0.08,75.1,No Risk
45,36,Technology,QA Engineer,15.6,8,7.3,3,10,2,37.6,12,5.6,16,6.7,4,3,8,4,0.8,96.2,No Risk
46,30,Education,Teacher,11.9,5,3.7,2,9,5,35.8,6,2.3,16,6.7,6,3,8,6,0.16,83.7,No Risk
47,40,Finance,Compliance Officer,14.0,0,0.1,0,3,7,53.0,8,1.4,9,5.3,6,6,4,3,0.73,44.4,No Risk
48,39,Healthcare,Nurse,18.3,2,1.9,1,6,7,53.0,9,3.3,13,5.6,7,8,4,4,0.53,65.7,At Risk
49,41,Healthcare,Nurse,17.4,4,2.8,1,4,7,43.3,11,5.1,11,6.5,4,5,6,5,0.31,57.4,No Risk
50,38,Technology,Data Scientist,18.2,7,3.4,2,9,4,61.7,10,5.0,20,4.6,1,7,4,6,0.69,68.1,At Risk
51,58,Creative,Brand Strategist,34.4,7,4.6,3,10,2,52.0,8,4.7,15,4.3,3,4,9,4,0.14,74.4,No Risk
52,27,Education,Academic Advisor,5.2,8,4.6,3,10,5,50.2,10,3.3,11,6.6,1,5,6,5,0.02,73.5,No Risk
53,22,Creative,UX Designer,1.6,2,1.7,1,4,7,47.2,5,3.5,13,6.6,3,5,6,3,0.3,58.6,No Risk
54,32,Legal,Lawyer,7.0,6,3.7,2,10,4,38.5,8,0.7,9,6.6,3,4,8,3,0.29,80.6,No Risk
55,22,Healthcare,Medical Researcher,0.0,5,4.4,2,9,10,54.6,8,5.8,19,5.0,3,7,4,7,0.36,79.5,At Risk
56,23,Creative,Art Director,0.9,9,5.1,3,10,9,56.1,7,4.6,18,6.6,5,7,5,4,0.21,80.6,At Risk
57,27,Technology,QA Engineer,4.1,1,1.1,0,6,7,45.9,6,5.4,15,5.6,2,7,6,4,0.77,51.7,No Risk
58,28,Technology,Software Engineer,7.3,4,3.8,2,7,4,38.1,4,3.9,16,6.3,1,6,3,5,0.67,69.4,At Risk
59,27,Technology,Product Manager,3.4,6,5.1,3,7,5,57.2,7,4.4,19,6.7,1,7,5,6,0.63,71.2,At Risk
60,39,Finance,Accountant,18.7,6,4.7,3,10,1,34.1,8,4.8,21,6.0,3,5,8,3,0.7,92.1,No Risk
61,31,Finance,Compliance Officer,11.0,3,3.2,1,4,6,39.3,6,0.8,19,6.0,6,1,5,5,0.82,60.6,No Risk
62,34,Technology,QA Engineer,9.2,0,0.3,0,3,7,48.6,13,1.9,9,5.7,5,5,3,2,0.59,51.5,No Risk
63,42,Legal,Legal Analyst,22.2,5,3.2,2,6,3,43.7,4,4.1,14,6.6,3,5,7,4,0.27,64.2,No Risk
64,29,Finance,Financial Analyst,6.1,7,4.7,3,9,3,40.6,10,5.9,10,7.9,2,2,9,1,0.85,99.4,No Risk
65,33,Finance,Accountant,8.5,3,1.6,1,9,6,56.6,9,4.5,13,4.8,1,10,6,5,0.81,67.1,At Risk
66,38,Healthcare,Nurse,16.7,6,5.1,3,8,3,57.6,9,4.5,13,7.3,2,5,8,2,0.15,83.0,No Risk
67,22,Technology,DevOps Engineer,0.0,3,1.8,1,5,10,54.0,10,3.1,13,8.4,4,7,2,2,0.63,65.6,At Risk
